"Game"	"Platform"	"Score"	"Genre"
"Tatsunoko vs. Capcom: Ultimate All Stars"	"Wii"	9	"Fighting"
"The Horrible Vikings"	"iPhone"	8	"None"
"Diatomic"	"Wii"	3.5	"Action"
"Dawn of the Dead"	"iPhone"	4	"Action"
"Mass Effect 2"	"PC"	9.6	"RPG"
"Mass Effect 2"	"X360"	9.6	"RPG"
"No More Heroes 2: Desperate Struggle"	"Wii"	8.8	"Action"
"Death By Cube"	"X360"	4.9	"Shooter"
"Pallurikio"	"Wii"	6	"Action"
"Vandal Hearts: Flames of Judgment"	"X360"	7.3	"RPG"
"ShadowPlay"	"Wii"	7.5	"None"
"Dark Void"	"PC"	5	"Action"
"Sands of Destruction"	"DS"	7.4	"RPG"
"TV Show King 2"	"Wii"	7.8	"Trivia"
"Dark Void"	"PS3"	5	"Action"
"Grand Theft Auto: Chinatown Wars "	"iPhone"	9	"Action"
"Eco Shooter: Plant 530"	"Wii"	7	"Action"
"Dark Void"	"X360"	5	"Action"
"Rabbids Lab"	"Wii"	3	"Action"
"Vancouver 2010: The Official Videogame of the Winter Olympic Games"	"PS3"	7.3	"Sports"
"Divinity II: Ego Draconis"	"X360"	4.8	"RPG"
"Vancouver 2010: The Official Videogame of the Winter Olympic Games"	"X360"	7.3	"Sports"
"Guitar Hero: Van Halen"	"PS2"	4.9	"Music"
"Divinity II: Ego Draconis"	"PC"	7	"RPG"
"WWE SmackDown vs. Raw 2010"	"iPhone"	2.5	"Wrestling"
"007: Top Agent"	"iPhone"	4	"Shooter"
"Beaterator"	"iPhone"	7	"Music"
"Eat! Fat! Fight!"	"Wii"	6	"Action"
"Serious Sam HD: The First Encounter"	"X360"	7	"Shooter"
"Magnetis"	"PC"	7.5	"Puzzle"
"Fable II (Platinum Hits)"	"X360"	8.8	"Action, RPG"
"Army of Two: The 40th Day"	"PSP"	5	"Shooter"
"Twin Sector"	"PC"	4.3	"Action"
"The Magic Obelisk"	"Wii"	8	"Platformer"
"Pub Darts"	"Wii"	3.5	"Sports"
"Chronos Twins DX"	"Wii"	8	"Platformer"
"Parcel Panic: Post Car Racer 3D"	"iPhone"	7.5	"Racing"
"Heron: Steam Machine"	"Wii"	6	"Puzzle"
"Phoenix Wright: Ace Attorney"	"Wii"	6	"Adventure"
"Matt Hazard: Blood Bath and Beyond"	"PS3"	7.9	"Action"
"Borderlands: Mad Moxxi's Underdome Riot "	"PC"	6	"Action, RPG"
"Borderlands: Mad Moxxi's Underdome Riot"	"X360"	6	"Action, RPG"
"Pinball Hall of Fame: The Gottlieb Collection"	"Wii"	7	"Pinball"
"Army of Two: The 40th Day"	"X360"	8.5	"Shooter"
"Borderlands: Mad Moxxi's Underdome Riot"	"PS3"	6	"Action, RPG"
"Guitar Hero: Van Halen"	"Wii"	4.9	"Music"
"The Sky Crawlers: Innocent Aces"	"Wii"	8	"Flight, Action"
"Castlevania: The Adventure ReBirth"	"Wii"	8	"Action"
"CSI: Crime Scene Investigation: Deadly Intent -- Hidden Cases"	"DS"	7.5	"Adventure"
"Wings of Prey"	"PC"	8.3	"Flight, Action"
"Frogger Returns"	"PS3"	4.6	"Action"
"Matt Hazard: Blood Bath and Beyond"	"X360"	7.9	"Action"
"Dragonology"	"DS"	7	"Adventure"
"Polar Panic"	"X360"	7.5	"Action"
"Fighting Fantasy: The Warlock of Firetop Mountain"	"DS"	5.5	"Action"
"Darksiders"	"X360"	7.8	"Action"
"0 Day: Attack on Earth"	"X360"	4	"Shooter"
"Fast Draw Showdown"	"Wii"	6.5	"Shooter"
"Yu-Gi-Oh! 5D's Tag Force 4"	"PSP"	7	"Card, Battle"
"Darksiders"	"PS3"	7.8	"Action"
"Hook Champ"	"iPhone"	8.5	"Platformer"
"The Lord of the Rings Online: Siege of Mirkwood"	"PC"	9	"RPG"
"Guitar Hero: Van Halen"	"PS3"	4.9	"Music"
"Mytran Wars"	"PSP"	5.8	"Strategy"
"Aztec Quest"	"iPhone"	8	"Puzzle"
"Battleship (2009) "	"iPhone"	7.9	"Board"
"Seed"	"iPhone"	6.5	"RPG"
"The Simpsons Arcade"	"iPhone"	7	"Action"
"Bayonetta"	"PS3"	8.2	"Action"
"Buzz! Quiz World"	"PSP"	5.9	"Trivia"
"Bayonetta"	"X360"	9.5	"Action"
"Dragon's Lair"	"DSi"	7	"Action"
"Need for Speed Shift"	"iPhone"	8.9	"Racing"
"Final Fantasy Crystal Chronicles: Crystal Bearers"	"Wii"	6.2	"Action, RPG"
"Scene It? Twilight"	"Wii"	5.5	"Trivia"
"The Princess and the Frog"	"DS"	5.5	"Adventure"
"Puzzlegeddon"	"X360"	7.9	"Puzzle"
"N.O.V.A.: Near Orbit Vanguard Alliance"	"iPhone"	9	"Shooter"
"The Princess and the Frog"	"Wii"	6.9	"Adventure"
"Diner Dash"	"PS3"	6.4	"Strategy"
"The Princess and the Frog (Taste of New Orleans Edition)"	"DS"	5.5	"Adventure"
"Ridge Racer Accelerated"	"iPhone"	5	"Racing"
"Fighting Street"	"Wii"	3	"Fighting"
"Rubik's Puzzle Galaxy: Rush"	"Wii"	8	"Puzzle"
"Avatar: The Game"	"iPhone"	7.8	"Action"
"NHL 2K10"	"PS2"	6	"Sports"
"Bejeweled Twist"	"DSi"	7.4	"Puzzle"
"Earthworm Jim 2"	"Wii"	7	"Platformer"
"Alien Breed Evolution"	"X360"	7.9	"Shooter"
"Pop Island"	"DSi"	7.5	"Adventure"
"MX vs. ATV Reflex "	"DS"	5.7	"Racing"
"Street Fighter Alpha 2"	"Wii"	7	"Fighting"
"Tom Clancy's HAWX"	"iPhone"	7.9	"Flight, Action"
"Resident Evil Archives: Resident Evil Zero"	"Wii"	4.5	"Action, Adventure"
"Pro Evolution Soccer 2010"	"PS2"	7.2	"Sports"
"Shinobi [1987]"	"Wii"	8	"Action"
"Skater Nation"	"iPhone"	7.5	"Sports"
"Magnetis"	"Wii"	7.5	"Puzzle"
"Borderlands: The Zombie Island of Dr. Ned"	"PC"	8	"Action, RPG"
"Copter Crisis"	"Wii"	2	"Flight, Action"
"Jonas"	"DS"	4	"Adventure"
"Solomon's Key (Arcade)"	"Wii"	7	"Puzzle, Action"
"MX vs. ATV Reflex"	"PSP"	4	"Racing"
"Qix++"	"X360"	4.6	"Puzzle, Action"
"Christmas Clix"	"Wii"	7	"Adventure"
"PixelJunk Shooter"	"PS3"	9.1	"Shooter"
"Rayman"	"DSi"	8	"Platformer"
"Tales of Monkey Island -- Chapter 5: Rise of the Pirate God"	"PC"	8.3	"Adventure"
"The Saboteur"	"PS3"	7.5	"Action"
"Gravity Crash"	"PS3"	7	"Shooter"
"Pro Evolution Soccer 2010"	"Wii"	8.1	"Sports"
"Pac-Man: Championship Edition"	"iPhone"	5	"Action"
"Dragon's Lair"	"iPhone"	9	"Action"
"Chaotic: Shadow Warriors"	"DS"	6.5	"Strategy"
"The Legend of Zelda: Spirit Tracks"	"DS"	9.3	"Action, Adventure"
"Ace Combat Xi "	"iPhone"	6.8	"Flight, Action"
"Rogue Warrior"	"PC"	1.5	"Shooter"
"Rogue Warrior"	"X360"	1.5	"Shooter"
"Silent Hill: Shattered Memories"	"Wii"	8.6	"Adventure"
"Rogue Warrior"	"PS3"	1.5	"Shooter"
"Bookworm"	"DS"	8.4	"Puzzle"
"Labyrinth 2"	"iPhone"	8.5	"Puzzle"
"Beat It!"	"iPhone"	9	"Music"
"Just Dance"	"Wii"	2	"Music"
"Borderlands: The Zombie Island of Dr. Ned"	"PS3"	8	"Action, RPG"
"The Saboteur"	"X360"	7.5	"Action"
"Chaotic: Shadow Warriors"	"X360"	5.5	"Strategy"
"Super Monkey Ball 2"	"iPhone"	7.2	"Puzzle, Action"
"Cobra Command"	"iPhone"	7.7	"Action"
"Chaotic: Shadow Warriors"	"PS3"	5.5	"Strategy"
"Call of Duty Classic"	"X360"	7.5	"Shooter"
"Planet 51"	"X360"	5	"Action"
"Planet 51"	"Wii"	5	"Action"
"Call of Duty Classic"	"PS3"	7.5	"Shooter"
"MX vs. ATV Reflex"	"PS3"	7.8	"Racing"
"Karaoke Revolution"	"Wii"	6.8	"Music"
"WireWay"	"DS"	6	"Puzzle, Action"
"MX vs. ATV Reflex"	"X360"	7.8	"Racing"
"My Zoo"	"Wii"	4	"Simulation"
"Karaoke Revolution"	"X360"	7.2	"Music"
"Karaoke Revolution "	"PS3"	7.2	"Music"
"Serious Sam HD"	"PC"	7.5	"Shooter"
"Military Madness"	"PS3"	6.9	"Strategy"
"Planet 51"	"PS3"	5	"Action"
"C.O.P.: The Recruit"	"DS"	5	"Action, Adventure"
"Avatar: The Game"	"Wii"	5.9	"Action"
"Avatar: The Game"	"X360"	6.8	"Action"
"Might and Magic: Clash of Heroes"	"DS"	8.9	"Puzzle, Adventure"
"Avatar: The Game"	"PS3"	6.8	"Action"
"Bookworm"	"DSi"	8	"Puzzle"
"Foto Face: The Face Stealer Strikes"	"DSi"	7	"Adventure"
"Avatar: The Game"	"PC"	6.8	"Action"
"Borderlands: The Zombie Island of Dr. Ned"	"X360"	8	"Action, RPG"
"Kahoots"	"PSP"	7.9	"Platformer"
"Madden NFL Arcade"	"PS3"	6.5	"Sports, Action"
"Dragon Ball Z: Attack of the Saiyans"	"DS"	7.1	"RPG"
"Hills and Rivers Remain"	"iPhone"	7.5	"Strategy"
"Touch Pets: Dogs"	"iPhone"	8.5	"Virtual Pet"
"Blast Off"	"PSP"	8.5	"Action"
"The Combatribes"	"Wii"	4	"Action"
"iBlast Moki"	"iPhone"	9	"Puzzle"
"Madden NFL Arcade"	"X360"	6.5	"Sports, Action"
"Tekken 6"	"PSP"	8.5	"Fighting"
"Castle of Magic"	"DSi"	7.5	"Action"
"Digger HD"	"PS3"	7.9	"Action"
"Stoked (Big Air Edition) "	"X360"	7.8	"Sports"
"A Boy and His Blob: Trouble on Blobolonia"	"Wii"	4.5	"Puzzle, Action"
"Rogue Planet"	"iPhone"	8	"Strategy"
"A.D.D."	"iPhone"	7.5	"Action"
"NBA 2K10"	"Wii"	6.5	"Sports"
"Ravensword: The Fallen King"	"iPhone"	7	"Action, RPG"
"All Star Cheer Squad 2"	"Wii"	7	"Sports"
"Scene It? Bright Lights! Big Screen!"	"Wii"	4.9	"Trivia"
"Indiana Jones' Greatest Adventure"	"Wii"	8	"Action"
"Encleverment Experiment"	"X360"	6	"Puzzle"
"Arcade Bowling"	"DSi"	5.5	"Sports"
"Valhalla Knights: Eldar Saga"	"Wii"	4.5	"RPG"
"Peggle"	"PS3"	9	"Puzzle, Action"
"Scene It? Bright Lights! Big Screen!"	"PS3"	4.9	"Trivia"
"Bit.Trip Void"	"Wii"	8	"Action"
"Scene It? Bright Lights! Big Screen!"	"X360"	4.9	"Trivia"
"Soosiz"	"iPhone"	8.5	"Platformer"
"Super Mario Kart"	"Wii"	9	"Racing"
"Peggle Nights"	"X360"	8.4	"Puzzle"
"The Stronghold Collection"	"PC"	7	"Strategy, Compilation"
"Tony Hawk: Ride"	"PS3"	5	"Sports"
"LocoRoco Midnight Carnival"	"PSP"	7.5	"Puzzle, Action"
"Tony Hawk: Ride"	"Wii"	5	"Sports"
"Echoes"	"PSP"	7.9	"Puzzle, Action"
"Hasbro Family Game Night"	"X360"	8	"Board, Compilation"
"LEGO Indiana Jones 2: The Adventure Continues "	"PSP"	5.2	"Action, Adventure"
"Shin Megami Tensei: Persona"	"PSP"	7.5	"RPG"
"WorldShift"	"PC"	5	"Strategy"
"Jet Car Stunts"	"iPhone"	9	"Racing, Action"
"Tony Hawk: Ride"	"X360"	5	"Sports"
"Harvest Moon: Animal Parade"	"Wii"	7.5	"Simulation"
"LEGO Indiana Jones 2: The Adventure Continues"	"DS"	5.2	"Action, Adventure"
"Squeeballs Party"	"DS"	3.1	"Party"
"Cabela's Big Game Hunter 2010"	"PS3"	4.5	"Hunting"
"Hot Wheels: Battle Force 5"	"DS"	4.5	"Racing"
"Star Wars: Trench Run"	"iPhone"	6.7	"Action"
"LEGO Indiana Jones 2: The Adventure Continues"	"PS3"	6	"Action, Adventure"
"Diner Dash"	"X360"	6.4	"Action"
"LEGO Indiana Jones 2: The Adventure Continues"	"X360"	6	"Action, Adventure"
"Robot Rescue"	"DSi"	8	"Puzzle"
"Assassin's Creed II: Discovery"	"DS"	8	"Action"
"NCAA Basketball 10"	"X360"	7.8	"Sports"
"NCAA Basketball 10"	"PS3"	7.8	"Sports"
"Assassin's Creed: Bloodlines"	"PSP"	6.9	"Action"
"LEGO Indiana Jones 2: The Adventure Continues"	"Wii"	6	"Action, Adventure"
"LEGO Indiana Jones 2: The Adventure Continues"	"PC"	6	"Action, Adventure"
"Torchlight"	"PC"	8.6	"Action, RPG"
"Dragon Ball: Revenge of King Piccolo"	"Wii"	7.4	"Action"
"Bleach: The 3rd Phantom"	"DS"	7	"Strategy, RPG"
"The Sims 3: World Adventures"	"PC"	8.3	"Simulation"
"Guitar Hero 5 "	"PS2"	4.5	"Music"
"Assassin's Creed II"	"PS3"	9.2	"Action"
"Ben 10: Alien Force -- Vilgax Attacks"	"PS2"	7	"Action"
"Assassin's Creed II"	"X360"	9.2	"Action"
"LittleBigPlanet"	"PSP"	9	"Platformer"
"Hot Wheels: Battle Force 5"	"Wii"	5.3	"Racing"
"Gyromancer"	"X360"	8.3	"Action"
"Need for Speed Nitro"	"DS"	6.8	"Racing"
"Ben 10: Alien Force -- Vilgax Attacks"	"DS"	6.7	"Action"
"Left 4 Dead 2"	"X360"	9	"Shooter"
"Adventures to Go"	"PSP"	6.5	"Strategy, RPG"
"Ben 10: Alien Force -- Vilgax Attacks"	"X360"	7	"Action"
"Left 4 Dead 2"	"PC"	9	"Shooter"
"Pokemon Rumble"	"Wii"	6	"Fighting"
"Ben 10: Alien Force -- Vilgax Attacks"	"PSP"	7	"Action"
"Call of Duty: World at War: Zombies"	"iPhone"	7	"Shooter"
"Ben 10: Alien Force -- Vilgax Attacks"	"Wii"	7	"Action"
"Bubble Trubble"	"PSP"	6	"Puzzle"
"Ghostbusters: The Video Game"	"PSP"	5.8	"Action"
"EA Sports Active: More Workouts"	"Wii"	8	"Sports"
"NBA Unrivaled"	"X360"	2.5	"Sports"
"Jurassic: The Hunted"	"PS2"	6	"Action"
"God of War Collection"	"PS3"	9.4	"Compilation"
"Gravitronix"	"Wii"	4.5	"Action"
"Braid"	"PS3"	8.5	"Platformer"
"Jurassic: The Hunted "	"PS3"	6.5	"Action"
"StateShift"	"PSP"	5.5	"Racing"
"New Super Mario Bros. Wii"	"Wii"	8.9	"Platformer"
"Jurassic: The Hunted"	"X360"	6.5	"Action"
"Jurassic: The Hunted"	"Wii"	6	"Action"
"Resident Evil: The Darkside Chronicles"	"Wii"	8.1	"Shooter"
"Are You Smarter Than A 5th Grader? Game Time"	"Wii"	4	"Trivia"
"Frogger Returns"	"Wii"	4.6	"Action"
"Star Trek: D-A-C"	"PC"	7	"Shooter"
"Academy of Champions Soccer"	"Wii"	7	"Sports"
"Are You Smarter Than A 5th Grader? Game Time"	"DS"	4	"Trivia"
"Battle of Giants: Dragons (Bronze Edition)"	"DSi"	7	"Simulation"
"Disney Fairies: Tinker Bell and the Lost Treasure"	"DS"	6.8	"Adventure"
"Naruto Shippuden: Clash of Ninja Revolution 3"	"Wii"	8	"Action"
"Dragon Master: Spell Caster"	"Wii"	2.5	"Action"
"Star Trek: D-A-C"	"PS3"	7	"Shooter"
"Dance Dance Revolution: Disney Grooves (Game Only Edition)"	"Wii"	5.9	"Music"
"ColorZ"	"Wii"	5.5	"Puzzle, Action"
"Catan"	"iPhone"	7.5	"Board"
"Call of Duty: Modern Warfare -- Reflex Edition"	"Wii"	7	"Shooter"
"Viking Invasion"	"DSi"	7.4	"Strategy"
"Cybernoid: The Fighting Machine"	"Wii"	6	"Action"
"Call of Duty: Modern Warfare: Mobilized"	"DS"	8	"Shooter"
"Call of Duty: Modern Warfare 2"	"PS3"	9.5	"Shooter"
"Are You Smarter Than A 5th Grader? Game Time"	"X360"	4	"Trivia"
"Call of Duty: Modern Warfare 2 (Prestige Edition) "	"X360"	9.5	"Shooter"
"Call of Duty: Modern Warfare 2"	"X360"	9.5	"Shooter"
"Pro Evolution Soccer 2010"	"X360"	7.7	"Sports"
"Pro Evolution Soccer 2010"	"PS3"	7.7	"Sports"
"Dragon Ball: Raging Blast"	"PS3"	6.2	"Fighting"
"0-D Beat Drop"	"X360"	8.5	"Puzzle, Action"
"Wonder Boy III: The Dragon's Trap"	"Wii"	7.5	"Action"
"Dragon Ball: Raging Blast"	"X360"	6.2	"Fighting"
"Call of Duty: Modern Warfare 2 (Prestige Edition)"	"PS3"	9.5	"Shooter"
"Ghosts 'N Goblins: Gold Knights"	"iPhone"	7.7	"Action"
"Call of Duty: Modern Warfare 2"	"PC"	9.5	"Shooter"
"Call of Duty: Modern Warfare 2 (Hardened Edition)"	"X360"	9.5	"Shooter"
"Call of Duty: Modern Warfare 2 (Hardened Edition)"	"PS3"	9.5	"Shooter"
"Painkiller: Resurrection"	"PC"	2.6	"Shooter"
"Texas Hold 'em Poker"	"Wii"	7	"Card"
"Shootanto: Evolutionary Mayhem"	"Wii"	6	"Shooter"
"Shaun White Snowboarding: World Stage"	"Wii"	7.6	"Sports"
"Eliminate"	"iPhone"	7.4	"Shooter"
"Star Wars Battlefront: Elite Squadron"	"PSP"	6	"Action"
"Star Wars Battlefront: Elite Squadron"	"DS"	6.9	"Action"
"Romance of the Three Kingdoms Touch"	"iPhone"	7.8	"Strategy"
"Excitebike: World Rally"	"Wii"	7.9	"Racing"
"Inferno Pool"	"PS3"	5.3	"Sports"
"Buzz! Quiz World"	"PS3"	9	"Trivia"
"SimAnimals Africa"	"Wii"	5.5	"Virtual Pet"
"Asphalt 5 "	"iPhone"	8	"Racing"
"Family Card Games"	"Wii"	5	"Card"
"Buzz! Quiz World (Game &amp; 4-Controller Bundle)"	"PS3"	9	"Trivia"
"We Cheer 2"	"Wii"	6.5	"Sports, Simulation"
"Wallace &amp; Gromit's Grand Adventures, Episode 2: The Last Resort"	"X360"	6.9	"Adventure"
"The Biggest Loser"	"DS"	6.8	"Simulation"
"Where the Wild Things Are"	"DS"	6.5	"Adventure"
"Wallace &amp; Gromit's Grand Adventures, Episode 4: The Bogey Man"	"X360"	7	"Adventure"
"Jak and Daxter: The Lost Frontier"	"PSP"	7.4	"Platformer"
"Jak and Daxter: The Lost Frontier"	"PS2"	7.4	"Platformer"
"Family Tennis"	"Wii"	6.5	"Sports"
"Wallace &amp; Gromit's Grand Adventures, Episode 3: Muzzled!"	"X360"	7	"Adventure"
"Hasbro Family Game Night"	"DS"	5.4	"Board, Compilation"
"LEGO Rock Band"	"DS"	8.4	"Music"
"Carnival King"	"Wii"	6.5	"Simulation"
"Target Toss Pro: Bags"	"Wii"	6	"Sports, Action"
"Squeeballs Party"	"Wii"	5.8	"Party"
"SimAnimals Africa"	"DS"	6.7	"Simulation"
"Need for Speed Nitro"	"Wii"	8	"Racing"
"Band Hero (Band Kit)"	"X360"	7.9	"Music"
"LEGO Rock Band"	"X360"	7	"Music"
"NERF N-Strike Elite"	"Wii"	7.5	"Action"
"Aha! I Got It! Escape Game"	"Wii"	7	"None"
"Dragon Age: Origins"	"PC"	9	"RPG"
"Band Hero"	"X360"	7.9	"Music"
"Band Hero "	"PS3"	7.9	"Music"
"Band Hero (Band Kit)"	"PS3"	7.9	"Music"
"LEGO Rock Band"	"Wii"	5.5	"Music"
"Dragon Age: Origins"	"X360"	8.7	"RPG"
"Band Hero"	"Wii"	8.3	"Music"
"Band Hero"	"PS2"	5	"Music"
"Band Hero (Band Kit)"	"PS2"	5	"Music"
"Hasbro Family Game Night 2"	"Wii"	7.1	"Board, Compilation"
"Dragon Age: Origins (Collector's Edition)"	"PC"	9	"RPG"
"Band Hero"	"DS"	7.5	"Music"
"FIFA Soccer 10"	"PS2"	6.4	"Sports"
"Dragon Age: Origins (Collector's Edition)"	"PS3"	8.7	"RPG"
"bitFLIP"	"iPhone"	8	"Puzzle"
"Band Hero (Band Kit)"	"Wii"	8.3	"Music"
"Dragon Age: Origins (Collector's Edition)"	"X360"	8.7	"RPG"
"Rabbids Go Home"	"Wii"	8.5	"Adventure"
"Doom Classic"	"iPhone"	8	"Shooter"
"LEGO Rock Band"	"PS3"	7	"Music"
"Dragon Age: Origins"	"PS3"	8.7	"RPG"
"Where the Wild Things Are"	"X360"	4.7	"Adventure"
"Star Wars: The Force Unleashed -- Ultimate Sith Edition"	"PC"	7.5	"Action"
"Where the Wild Things Are"	"PS3"	4.7	"Adventure"
"Command &amp; Conquer: Red Alert"	"iPhone"	7.3	"Strategy"
"R-Type (SEGA Master System Version)"	"Wii"	5	"Action"
"Ghost Mansion Party"	"Wii"	7.5	"Adventure"
"Star Wars: The Force Unleashed -- Ultimate Sith Edition "	"PS3"	7.5	"Action"
"Star Wars: The Force Unleashed -- Ultimate Sith Edition"	"X360"	7.5	"Action"
"Where the Wild Things Are"	"Wii"	4.7	"Adventure"
"Madagascar Kartz"	"X360"	6.8	"Racing, Action"
"FIFA Soccer 10"	"DS"	8	"Sports"
"Cabela's Big Game Hunter 2010"	"Wii"	5.5	"Hunting"
"Madagascar Kartz (Game &amp; Custom Wheel)"	"Wii"	6.8	"Racing, Action"
"Madagascar Kartz"	"Wii"	6.8	"Racing, Action"
"Madagascar Kartz"	"DS"	6.5	"Racing, Action"
"Madagascar Kartz"	"PS3"	6.8	"Racing, Action"
"Tales of Monkey Island -- Chapter 4: The Trial and Execution of Guybrush Threepwood"	"PC"	7.2	"Adventure"
"Zombie Tycoon"	"PSP"	5.2	"Simulation"
"Fairytale Fights"	"X360"	5.1	"Action"
"Sudoku Ball -- Detective"	"DS"	5	"Puzzle"
"Groovin' Blocks"	"iPhone"	7.7	"Puzzle"
"Navy Patrol: Coastal Defense"	"iPhone"	8	"Strategy"
"Grand Theft Auto: Episodes from Liberty City"	"X360"	9.2	"Compilation"
"Inferno Pool"	"X360"	5.3	"Sports"
"Touchmaster 3"	"DS"	7.9	"Party"
"Family Slot Car Racing"	"Wii"	6	"Racing"
"Astro Boy: The Video Game"	"Wii"	5.7	"Action"
"Golden Axe"	"Arcade"	7	"Action"
"Fairytale Fights"	"PS3"	5.1	"Action"
"Grand Theft Auto IV: The Ballad of Gay Tony"	"X360"	9.2	"Action, Adventure"
"Drawn to Life: The Next Chapter"	"Wii"	6.2	"Platformer"
"Rainbow Islands: Towering Adventure "	"X360"	7.2	"Action, Adventure"
"Astro Boy: The Video Game"	"DS"	4	"Action"
"Golden Axe (Arcade)"	"Wii"	7	"Action"
"Kenka Bancho: Badass Rumble"	"PSP"	6.8	"Action"
"Drawn to Life: The Next Chapter"	"DS"	6.7	"Platformer"
"The Biggest Loser"	"Wii"	7.7	"Simulation"
"Nostalgia"	"DS"	7.2	"RPG"
"Zombies Ate My Neighbors"	"Wii"	8	"Action"
"FIFA Soccer 10"	"PSP"	8	"Sports"
"Zombies Ate My Neighbors"	"SNES"	8	"Action"
"DJ Hero"	"X360"	9	"Music"
"DJ Hero (Renegade Edition)"	"PS3"	9	"Music"
"DJ Hero (Renegade Edition)"	"X360"	9	"Music"
"DJ Hero (Renegade Edition)"	"Wii"	9	"Music"
"Vempire"	"iPhone"	6.7	"Puzzle"
"DJ Hero"	"Wii"	9	"Music"
"Vempire"	"PSP"	6.7	"Puzzle"
"Toy Story Mania"	"Wii"	6	"Party"
"DJ Hero"	"PS3"	9	"Music"
"Way of the Samurai 3"	"X360"	6.5	"Action, Adventure"
"Cabela's Big Game Hunter 2010"	"X360"	4.6	"Hunting"
"JU-ON: The Grudge"	"Wii"	2.5	"Adventure"
"Cooking Mama 3: Shop &amp; Chop"	"DS"	7	"Simulation"
"Tekken 6"	"PS3"	8.8	"Fighting"
"Scene It? Twilight"	"iPhone"	7.6	"Trivia"
"5 Spots Party "	"Wii"	5	"Party"
"Tekken 6"	"X360"	8.8	"Fighting"
"Disney Sing It: Pop Hits"	"PS2"	6.6	"Music"
"Deca Sports 2"	"Wii"	5.3	"Sports, Compilation"
"Disney Sing It: Pop Hits"	"PS3"	6.8	"Music"
"Trine"	"PS3"	8.2	"Platformer"
"Disney Sing It: Pop Hits"	"Wii"	6.8	"Music"
"2XL ATV Offroad"	"iPhone"	7.2	"Racing"
"Bakugan: Battle Brawlers"	"PS2"	5.8	"Battle"
"Archon: Conquest"	"iPhone"	7.9	"Strategy"
"MotorStorm: Arctic Edge"	"PS2"	8	"Racing"
"Dreamkiller"	"PC"	4.2	"Shooter"
"Hero's Saga: Laevatein Tactics"	"DS"	7	"Strategy, RPG"
"Spore Hero Arena"	"DS"	3.8	"Simulation"
"Mushroom Wars"	"PS3"	8	"Strategy"
"Guitar Hero: Van Halen"	"X360"	4.9	"Music"
"Lips: Number One Hits"	"X360"	7.5	"Music"
"Jam Sessions 2"	"DS"	7	"Music"
"Cars Race-O-Rama"	"X360"	5	"Racing"
"Crash-Course Domo"	"DSi"	5.5	"Racing"
"Fallen Earth"	"PC"	8.1	"RPG"
"Hard-Hat Domo"	"DSi"	4	"Platformer"
"Marvel Super Hero Squad"	"DS"	5.9	"Action"
"Cars Race-O-Rama"	"PS3"	5	"Racing"
"Marvel Super Hero Squad"	"PSP"	5.5	"Action"
"Panzer General: Allied Assault "	"X360"	7.9	"Card, Battle"
"White-Water Domo"	"DSi"	4.9	"Racing"
"Rock-n-Roll Domo"	"DSi"	4.5	"Music"
"Cars Race-O-Rama"	"Wii"	5	"Racing"
"A Witch's Tale"	"DS"	6	"Action, RPG"
"FIFA Soccer 10"	"PC"	7	"Sports"
"Earthworm Jim"	"iPhone"	6.9	"Platformer"
"Cars Race-O-Rama"	"PSP"	5	"Racing"
"Cars Race-O-Rama"	"PS2"	5	"Racing"
"Pro-Putt Domo"	"DSi"	6	"Sports"
"Tower Bloxx Deluxe"	"X360"	5.6	"Puzzle"
"LostWinds: Winter of the Melodias"	"Wii"	8.9	"Adventure"
"WWE SmackDown vs. Raw 2010"	"DS"	7.9	"Wrestling"
"Bakugan: Battle Brawlers"	"Wii"	6.2	"Battle"
"Machinarium"	"PC"	8.1	"Adventure"
"WWE SmackDown vs. Raw 2010"	"Wii"	8	"Wrestling"
"Grand Theft Auto: Chinatown Wars"	"PSP"	9.3	"Action"
"Beneath a Steel Sky -- Remastered"	"iPhone"	8.5	"Adventure"
"Bakugan: Battle Brawlers"	"DS"	6	"Battle"
"WWE SmackDown vs. Raw 2010"	"PSP"	7.2	"Wrestling"
"Game Party 3"	"Wii"	2.5	"Party"
"Bakugan: Battle Brawlers"	"X360"	6.2	"Battle"
"Marvel Super Hero Squad"	"PS2"	5.8	"Action"
"Bakugan: Battle Brawlers"	"PS3"	6.2	"Battle"
"Ratchet &amp; Clank Future: A Crack in Time"	"PS3"	9	"Platformer"
"Marvel Super Hero Squad "	"Wii"	5.8	"Action"
"Bakugan: Battle Brawlers (Collector's Edition)"	"DS"	6	"Battle"
"Rygar"	"Arcade"	6	"Action"
"Borderlands"	"X360"	8.8	"Action, RPG"
"Mario &amp; Sonic at the Olympic Winter Games"	"DS"	7.5	"Sports"
"Borderlands"	"PS3"	8.8	"Action, RPG"
"Rock Band"	"iPhone"	7	"Music"
"Black College Football: The Xperience -- The Doug Williams Edition"	"X360"	3.5	"Sports"
"Space Invaders Extreme 2"	"DS"	8	"Shooter"
"Rygar (Arcade)"	"Wii"	6	"Action"
"FIFA Soccer 10"	"Wii"	7.7	"Sports"
"Way of the Samurai 3"	"PS3"	6.5	"Action, Adventure"
"Football Genius: The Ultimate Quiz"	"X360"	7.3	"Trivia"
".deTuned"	"PS3"	4	"Other"
"WWE SmackDown vs. Raw 2010"	"PS2"	8	"Wrestling"
"Tropico 3"	"PC"	8.4	"Strategy"
